All Metabolites,Traduccion,Primary Metabolites,Description Primary Metabolites,Secondary Metabolites,Description Secondary Metabolites,Saturados,Insaturados,Ácidos,Bases,Alcoholes,Aminoderivados,Amidas,Aldehídos,Glúcidos,Aminoácidos,Alcaloides
cinnamic acid,Ácido Cinamico,"9,12-Octadecadienoic acid (Z,Z)-","El ácido 9,12-octadecadienoico, más conocido como ácido linoleico, es un ácido graso poliinsaturado de la serie omega-6, crucial para la salud humana y presente en muchos aceites vegetales como los de oliva, canola y girasol. Este ácido graso no puede ser producido por el cuerpo humano y, por tanto, debe ser obtenido a través de la alimentación. Es fundamental en el desarrollo y reparación de las células, en la regulación de la presión arterial y en la función inmunológica.

El ácido linoleico tiene un papel importante en la salud cardiovascular, ya que puede ayudar a reducir los niveles de colesterol LDL y promover un perfil lipídico saludable. Además, investigaciones indican que puede jugar un rol en la gestión del peso, ayudando a reducir los depósitos de grasa corporal",Protocatechoic acid,"Es un acido fenolico , es el antioxidante que esta presente en mayor cantidad en las infusiones de te. Se ha demostrado que tiene efectos antinflamatorios y efectos hepatoprotectivos. Tambien se han estudiado efectos antileucemicos. Su efecto antioxidante proteje a las hojas de la planta de la radiación uv. ",Glycerol,,4-Aminobutanoic acid,,Glycerol monostearate,"Pyrrolidine, 2-butyl-1-methyl-",,,Glucopyranose,L-Phenylalanine,Ecgonine
Hexadecane,Hexadecano,"9-Octadecenamide, (Z)-","El ácido 9-octadecenamida, conocido comúnmente como oleamida, es un compuesto derivado del ácido oleico, un ácido graso prevalente en muchos aceites vegetales. En el cuerpo humano, la oleamida se acumula en situaciones de privación de sueño, actuando como un inductor del sueño. Esta función sugiere que la oleamida desempeña un papel regulador en los ciclos de sueño y vigilia, facilitando la transición hacia el descanso.",Salicylic acid,"El ácido salicilico es una hormona vegetal, implicada en el creciemiento, transporte de iones  y fotosintesis de muchas plantas. Esta involucrado en la señalización interna asociada que regula la defensa de la planta frente a patogenos. Es capaz de regular procesos inflamatorios modulando las enzimas COX-1 y COX-2, inhibiendo la formación de prostaglandinas pro-inflamatorias. Es el precursor de la aspirina, siendo un medicamento que disminuye el dolor, la fiebre y la inflamación. ",Glycerol monostearate,,4-Coumaric acid,,Glyceryl-glycoside ether,delta. Amino levulinic acid tri-,,,Glycerol,L-Proline,
lauric acid,Ácido Laurico,Adenine,"La adenina es una de las cuatro bases nitrogenadas fundamentales que forman parte de los ácidos nucleicos, los cuales son esenciales para la vida. Estos ácidos nucleicos, específicamente el ADN y el ARN, actúan como material genético en los organismos vivos y son cruciales para almacenar y transmitir la información genética de generación en generación. En el ADN, la adenina se empareja específicamente con la timina mediante enlaces de hidrógeno, formando una parte integral de la estructura de doble hélice del ADN.

Además de su papel en el ADN, la adenina tiene importantes funciones en otros procesos biológicos. Es un componente del ATP (adenosín trifosfato), que es una molécula vital que almacena y transporta energía química dentro de las células para la metabolización de nutrientes. También está involucrada en la síntesis de varios cofactores esenciales y en la regulación de procesos de señalización celular, lo que demuestra su versatilidad y su importancia en numerosas funciones celulares y metabólicas. Entender el papel de la adenina ayuda a apreciar cómo se manejan la energía y la información genética en el cuerpo, esenciales para la vida y la actividad celular.",Shikimic acid,"El ácido shikimico es un intermediario en la sintesis de metabolitos secundarios presente en plantas y micrroganismos . Su nombre deriva de la flor del shikimi japonés, En la industria farmacéutica el ácido siquímico, obtenido del anís estrellado (Illicium verum), se utiliza para la producción del antiviral oseltamivir. El ácido shikimico es precursor de los aminoácidos aromáticos fenilalanina y tirosina, indol, derivados del indol y el aminoácido aromático triptófano, muchos alcaloides y otros metabolitos aromáticos, taninos, flavonoides, y lignina.",Heptadecane,,4-hydroxybenzoic acid,,L-(-)-Arabitol,Putrescine,,,Glycerol monostearate,Serine,
Octadecane,Octadecano,alpha-Linolenic acid,"Más allá de su función biológica, la oleamida es apreciada en la industria por sus propiedades lubricantes, lo que la hace ideal para la manufactura y el mantenimiento de maquinaria, reduciendo la fricción y prolongando la vida útil de los equipos. También se utiliza como agente anticorrosivo, protegiendo los metales de la oxidación y el desgaste. Estas aplicaciones industriales, combinadas con su rol en la regulación del sueño, hacen de la oleamida un compuesto de gran interés y versatilidad en campos tan variados como la medicina del sueño y la ingeniería",Benzoylecgonine,"La benzoilecgonina es el principal metabolito de la cocaína, se forma en el hígado y se excreta en la orina. Es el compuesto analizado en la mayoría de las pruebas de orina para la detección de cocaína. Es el principal componente del Esterom , un medicamento en investigación para el alivio del dolor muscular",HeptadecanoicAcid,,cinnamic acid,,Meso-Erythritol,Iminodiacetic Acid,,,Glyceryl-glycoside ether,L-Threonine,
Protocatechoic acid,Ácido Protocatenoico,alphatocopherol,"El alfatocoferol, mejor conocido como vitamina E, es crucial para la protección y el mantenimiento de la salud celular en el cuerpo humano. Actúa principalmente como un antioxidante, defendiendo las células de los daños causados por los radicales libres, unas moléculas que pueden deteriorar las células y aumentar el riesgo de enfermedades crónicas como cáncer y afecciones cardíacas. Este rol es especialmente vital para los lípidos, que son componentes esenciales de las membranas celulares y necesitan protección para asegurar el correcto funcionamiento celular.

Más allá de su capacidad antioxidante, el alfatocoferol es fundamental para el sistema inmunológico, mejorando la capacidad del cuerpo para combatir infecciones. También contribuye a la salud de la piel, protegiéndola contra los daños del envejecimiento y la exposición solar. Se encuentra naturalmente en fuentes como aceites vegetales, nueces, semillas y vegetales de hoja verde, lo que hace que una dieta equilibrada sea esencial para asegurar una ingesta adecuada de vitamina E. Esta ingesta no solo ayuda a prevenir enfermedades crónicas, sino que también apoya la salud general y el bienestar.",Cocaine,"Se conoce también como benzoilmetilecgonina. Es un alcaloide tipo tropano y fuerte estimulante. La cocaína tiene conocidos efectos vasoconstrictores y analgesicos locales  siendo util en cirugias de laringe. Posee un potente efecto simpaticomimético y estimulante del sistema nervioso central al bloquear la recaptación de dopamina, noradrenalina y serotonina en el sistema nervios central.Es producida por las plantas del genero Erithroxilum variedades coca, truxillensis, ipadu y novogranatense, siendo un potente insecticida con efecto nerurotoxico ",Hexadecane,,4-Hydroxycinnamic acid,,Myo-Inositol,,,,Gulonic acid,L-Valine,
quinic acid(S),Ácido Quinico,Benzoic Acid,"El ácido 3-O-cumaroilquínico es un compuesto fenólico importante en el metabolismo de las plantas, derivado de la unión del ácido p-cumárico y del ácido quínico. El ácido p-cumárico es parte de la familia de los ácidos cinámicos, que son comunes en las ceras vegetales como la manteca de karité y juegan un papel esencial en la protección de las plantas. Estos compuestos forman una barrera cerosa que impermeabiliza frutos, hojas y flores, ayudando a las plantas a resistir diversas condiciones ambientales al prevenir la pérdida de agua y protegerlas de patógenos.

Además, el ácido 3-O-cumaroilquínico posee propiedades antioxidantes significativas, lo que lo hace crucial en la defensa contra el estrés oxidativo causado por factores ambientales como la radiación UV y la contaminación. Estos antioxidantes ayudan a proteger y preservar la integridad estructural de las plantas, asegurando su desarrollo y supervivencia. Por su impacto en la salud vegetal y su rol en la protección de las estructuras celulares, este ácido no solo es fundamental para el crecimiento y la reproducción de las plantas, sino que también tiene potencial en aplicaciones biotecnológicas y agrícolas para mejorar la resistencia de las plantas a las adversidades ambientales.",Ecgonine,"La ecgonina es un alcaloide tipo tropano , el cual es un precursor de la producción de cocaína por parte de la planta. Se puede obtener por descomposición ácida de la cocaina (hidrolisis). Es producida por el higado al metabolizar la cocaína y es eliminada por los riñones. Tiene un potencial uso para el desarrollo de antiespasmodicos y analgesicos ",Hexanedioic acid,,5-0-Coumaroyl-D-quinic acid,,Phytol,,,,L-(-)-Arabitol,Glycine,
Nonadecane,Nonadecano,Butanedioic acid,"El ácido butanedioico, más conocido como ácido succínico, es un compuesto orgánico vital en el ciclo del ácido cítrico, donde juega un papel crucial en la producción de energía dentro de las células de todos los seres vivos. Este ácido dicarboxílico se caracteriza por su estado sólido blanco y su estructura con dos grupos carboxilo, que le confieren una alta reactividad y versatilidad en diversas aplicaciones industriales.

En la industria, el ácido succínico se emplea en la fabricación de plásticos y solventes, y como aditivo en la industria alimentaria para mejorar sabor y textura. También es fundamental en la producción de fragancias y en la cosmética, donde sirve como precursor para sintetizar componentes más complejos. En el ámbito médico, se explora por sus propiedades antiinflamatorias y como suplemento para aliviar el dolor e inflamación. Recientemente, el ácido succínico ha ganado atención como un químico sostenible, producido ecológicamente a través de la fermentación bacteriana de azúcares de origen vegetal, destacando su potencial en la creación de soluciones más verdes para la industria química.",Ecgonine ethyl ester,"Es un analogo de la ecgonina . La ecgonina tiene sustituyentes reactivos en su estrctura tipo tropano. Presenta un grupo alcohol, un nitrogeno  y un grupo funcional acido carboxilico.  El ácido carboxilico puede reaccionar con alcoholes en un proceso denominado esterificación. Cuando el acido carboxilico reacciona con un alcohol se forma un  ester del alcohol con el que interactua. Estos esteres tienen la potencialidad de interactuar com membranas celulares pudiendo interferir en el metabolismo de los insectos , bacterias y hongos. ",Pentadecane,,"9,12-Octadecadienoic acid (Z,Z)-",,Xylitol,,,,Lactose,Tyrosine,
4-Coumaric acid,Ácido 4-Cumarico  ,Butanoic acid,"El ácido butanoico, comúnmente conocido como ácido butírico, es un ácido orgánico saturado con una cadena de cuatro átomos de carbono. Se encuentra naturalmente en las paredes celulares de las plantas y en productos lácteos, especialmente en la mantequilla, de donde deriva su nombre del latín 'butyricum'. Este ácido es reconocido por su olor acre, característico de la mantequilla rancia, y juega un papel importante en diversas industrias.

En la industria de fragancias y sabores, el ácido butanoico se utiliza por su perfil olfativo único, aunque su uso debe ser cuidadosamente dosificado debido a su potente aroma. En la medicina, se investiga por sus propiedades antiinflamatorias, particularmente en el tratamiento de condiciones inflamatorias intestinales como la enfermedad de Crohn y la colitis. Además, el ácido butanoico es estudiado por su capacidad para influir en la regulación del metabolismo y la expresión genética, especialmente en cómo modula la actividad de las células en los mamíferos.

Esta combinación de propiedades hace del ácido butanoico un compuesto de gran interés en múltiples disciplinas, incluyendo la alimentación, la farmacología y la investigación biomédica, destacando su utilidad y potencial en una variedad de aplicaciones prácticas y científicas.",Phytol,"El fitol es un alcohol graso del tipo diterpeno, es parte constitucional de la clorofila. Como metabolito se han reportado numerosos efectos biologicos como asiolitico, antoxidante , citotoxico , antiinflamatorio. ",Methyl Stearate,,abietic acid,,Xylonic acid,,,,,.beta.-Alanine,
D-Mannitol,D-Manitol,Tris(trimethylsilyl)carbamate,"Es una sustancia derivada del acido carbamico, que es un bloque de construcción de numerosas sustancias en las plantas, siendo la sintesis del carbamoil fosfato, un prescursor clave para formar ornitina que a su vez pude convertirse en alcaloides en las plantas ",Ecgonine methyl ester,Analogo de ecognina precursor de la biosintesis de cocaína. Donde el grupo funcional ácido carboxilico reacciona con un alcohol metilico formandose el ester metilico. Los esteres tienen buena afinidad con las membranas celulares.,Nonadecane,,alpha-Linolenic acid,,Phytol2,,,,,4-Aminobutyric acid,
Eicosane,Eicosano,Citric acid,"El ácido cítrico es un ácido orgánico tricarboxílico presente naturalmente en muchas frutas, particularmente en los cítricos como limones y naranjas. Esta composición le otorga una potente actividad antioxidante, protegiendo al cuerpo de los radicales libres que aceleran el envejecimiento y pueden causar enfermedades. Su naturaleza ácida también ayuda a preservar alimentos y bebidas, al inhibir el crecimiento de microorganismos nocivos y ajustar el balance de acidez, mejorando el sabor.

Fuera del contexto alimentario, el ácido cítrico se valora en la industria cosmética y de limpieza por su habilidad para disolver residuos minerales y grasos, lo que lo convierte en un ingrediente clave en muchos productos de limpieza domésticos y artículos de cuidado personal. Su versatilidad y efectividad lo hacen indispensable en diversas aplicaciones, destacando su importancia tanto en la nutrición y la salud como en su uso cotidiano en el hogar y la industria.",Mimosine l,"Es un aminoacido no proteico, que posee efectos toxicos en los rumiantes. Posee un efecto antimitotico, detiene el crecimiento celular, siendo aplicado este efecto en el tratamiento de cancer de ovarios.",Tetradecane,,Benzoic Acid,,,,,,,Mimosine l,
Palmitic Acid,Ácido Palmitico,Xylonic acid,"Es un azucar del grupo de las aldosas , proviene de la oxidación de la xilosa. Como azucar es un monosacarido de 5 carbonos ",Trigonelline,"Es un alcaloide tipo zwiterion(, tiene cargas positivas y negativas localizadas) derivado de la niacina (vitamina b). Es junto con el acido clorgenico y la cafeina el responsable del sabor amargo del café La trigonelina actúa como un modulador del receptor de prostaglandinas EP2 , el cual regula la contracción del musculo liso y la contracción de vasos sanguineos. Tambien posee alguanas propiedades estimulantes del apetito, hiperglucemia y diureticas. ",Octadecane,,Butanedioic acid,,,,,,,,
HeptadecanoicAcid,Ácido Heptadecanoiico,D-(+)-Glucosamine,"La D-(+)-Glucosamina es un aminoglucósido que combina una molécula de glucosa con un grupo amino, desempeñando un papel crucial en los procesos de glicosilación, es decir, la adición de cadenas de azúcar a proteínas y lípidos. Este proceso es vital para la función celular y el desarrollo de estructuras celulares complejas. Naturalmente, se encuentra en el exoesqueleto de los artrópodos, como los crustáceos e insectos, proporcionando estructura y protección, así como en la pared celular de los hongos.",Tropine,"La tropina es un alcaloide tipo tropano, tambien llamado 3-tropanol. Es un conocido antagonista muscarínico de acción prolongada (AMAP) son una clase de fármaco inhalado que ha sido eficaz en os pacientes con enfermedad pulmonar obstructiva crónica y asma. Forma parte de la estructura de los alcaloides tropanicos como la atropina , hisociamina y escopolamina presentes en la atropa belladona. ",,,Chlorogenic acid,,,,,,,,
